x;0,3388;0,3395;0,3396;0,3394;0,3394;0,3394;0,3394;0,3392;0,3392;0,3390;0,3389;0,3388;0,3387;0,3389;0,3385;0,3386;0,3385;0,3385;0,3382;0,3382;0,6736;0,6736;0,6741;0,6743;0,6742;0,6738;0,6742;0,6740;0,6743;0,6744;0,6752;0,6752;0,6757;0,6754;0,6755;0,6757;0,6758;0,6760;0,6761;0,6762;0,7108;0,6213;0,6766;0,6352;0,6470;0,6740;0,7078;0,6673;0,6743;0,6735;0,6698;0,6714;0,6863;0,7066;0,6802;0,6751;0,6562;0,6785;0,6986;0,6673
y;0,3718;0,3708;0,3704;0,3698;0,3698;0,3693;0,3691;0,3688;0,3684;0,3682;0,3680;0,3677;0,3675;0,3674;0,3672;0,3672;0,3669;0,3668;0,3665;0,3662;0,3253;0,3253;0,3253;0,3253;0,3251;0,3251;0,3250;0,3248;0,3248;0,3246;0,3242;0,3240;0,3236;0,3237;0,3236;0,3234;0,3233;0,3231;0,3230;0,3228;0,2806;0,2539;0,2680;0,2560;0,2598;0,2567;0,2719;0,2844;0,2577;0,2820;0,2872;0,2771;0,2748;0,2801;0,2682;0,2841;0,2703;0,2724;0,2789;0,2684
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304;0,00000E+00;0,00000E+00;5,43027E-05;4,02243E-05;7,05936E-04;0,00000E+00;1,55684E-04;9,07466E-05;1,26422E-04;1,57393E-03;6,00867E-04;1,31965E-03;7,69597E-04;4,69447E-03;0,00000E+00;7,49428E-03;0,00000E+00;2,70133E-03;0,00000E+00;1,39755E-03;4,75339E-05;0,00000E+00;7,58534E-04;6,11919E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;3,84326E-03;1,23459E-03;1,34765E-03;1,46072E-03;1,57378E-03;1,68684E-03;1,79991E-03;1,91297E-03;0,00000E+00;1,96713E-05;0,00000E+00;0,00000E+00;8,14541E-05;0,00000E+00;0,00000E+00;5,32512E-04;2,64393E-04;0,00000E+00;3,52968E-04;0,00000E+00;0,00000E+00;2,01022E-04;1,01881E-03;5,13355E-04;5,14231E-04;0,00000E+00;0,00000E+00;4,86539E-05
305;0,00000E+00;0,00000E+00;1,72045E-04;3,18602E-04;0,00000E+00;1,44959E-03;0,00000E+00;4,31263E-04;5,96217E-05;1,78865E-04;2,83373E-04;1,07133E-03;0,00000E+00;4,02510E-03;0,00000E+00;3,40370E-03;0,00000E+00;3,80379E-03;0,00000E+00;5,41383E-03;0,00000E+00;0,00000E+00;3,57730E-04;7,04958E-04;0,00000E+00;0,00000E+00;0,00000E+00;1,90189E-03;0,00000E+00;4,75473E-03;0,00000E+00;0,00000E+00;1,81251E-03;1,51744E-03;1,61419E-03;1,71095E-03;1,80770E-03;1,90446E-03;2,00122E-03;2,09797E-03;0,00000E+00;0,00000E+00;0,00000E+00;1,79146E-04;0,00000E+00;0,00000E+00;2,83155E-05;3,80187E-04;1,24690E-04;8,60226E-04;0,00000E+00;0,00000E+00;5,01882E-05;0,00000E+00;5,76405E-05;3,03758E-04;0,00000E+00;2,55867E-04;0,00000E+00;6,18854E-04
306;0,00000E+00;5,41751E-04;3,91288E-04;3,43374E-04;0,00000E+00;1,01627E-04;0,00000E+00;3,02347E-05;4,33401E-04;0,00000E+00;0,00000E+00;3,14760E-05;0,00000E+00;6,75441E-03;0,00000E+00;1,00002E-04;2,39554E-03;1,46444E-03;5,38996E-03;3,92665E-03;0,00000E+00;1,04643E-03;0,00000E+00;2,91908E-05;0,00000E+00;0,00000E+00;0,00000E+00;7,91884E-03;0,00000E+00;4,52554E-03;2,39554E-03;0,00000E+00;1,43732E-02;7,43927E-03;8,14994E-03;8,86061E-03;9,57128E-03;1,02820E-02;1,09926E-02;1,17033E-02;0,00000E+00;7,85005E-05;1,37524E-04;1,25594E-05;0,00000E+00;0,00000E+00;1,98513E-06;1,57427E-05;3,17238E-04;3,31184E-04;1,62525E-04;0,00000E+00;3,51856E-06;0,00000E+00;4,04101E-06;3,20575E-04;0,00000E+00;1,79382E-05;0,00000E+00;4,17775E-05
307;0,00000E+00;3,57679E-04;0,00000E+00;0,00000E+00;1,02417E-04;0,00000E+00;1,95751E-04;2,55030E-03;1,90762E-04;0,00000E+00;0,00000E+00;0,00000E+00;1,76728E-03;3,20210E-03;4,71742E-04;8,43522E-03;3,67384E-03;2,63600E-03;4,21761E-03;4,74481E-03;0,00000E+00;0,00000E+00;0,00000E+00;1,38501E-03;0,00000E+00;0,00000E+00;4,74481E-03;2,76924E-03;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,81049E-04;8,77046E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;9,02889E-05;1,63659E-04;0,00000E+00;0,00000E+00;2,05929E-04;6,97128E-04;0,00000E+00;5,72287E-04;0,00000E+00;0,00000E+00;0,00000E+00;2,28753E-05;5,98007E-05;6,94793E-04;0,00000E+00;5,85349E-04;0,00000E+00
308;0,00000E+00;7,89291E-05;0,00000E+00;0,00000E+00;9,40990E-04;0,00000E+00;8,17948E-04;0,00000E+00;0,00000E+00;0,00000E+00;9,37846E-05;1,44182E-03;2,17256E-03;2,58355E-03;5,67943E-03;0,00000E+00;4,33659E-03;4,58079E-03;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;6,31433E-04;0,00000E+00;0,00000E+00;2,18133E-03;0,00000E+00;2,75965E-03;0,00000E+00;0,00000E+00;0,00000E+00;2,61759E-03;1,74506E-03;1,56163E-03;1,65950E-03;1,75738E-03;1,85525E-03;1,95313E-03;2,05101E-03;2,14888E-03;0,00000E+00;6,07587E-05;0,00000E+00;0,00000E+00;2,85300E-04;0,00000E+00;0,00000E+00;3,68997E-04;7,95349E-04;0,00000E+00;0,00000E+00;5,91969E-05;0,00000E+00;7,30465E-05;2,80690E-04;2,77529E-04;0,00000E+00;0,00000E+00;3,25289E-04;3,34137E-04
309;0,00000E+00;9,66164E-05;0,00000E+00;4,56406E-05;6,28006E-04;1,48327E-04;0,00000E+00;1,13263E-03;0,00000E+00;0,00000E+00;1,13976E-03;2,24728E-03;3,83809E-03;6,07578E-04;9,64770E-03;0,00000E+00;0,00000E+00;9,01294E-03;3,40564E-04;6,81128E-04;0,00000E+00;0,00000E+00;7,72931E-04;0,00000E+00;1,24943E-03;6,75691E-03;0,00000E+00;3,40564E-04;0,00000E+00;0,00000E+00;0,00000E+00;3,20417E-03;8,26627E-03;3,79230E-03;4,07777E-03;4,36324E-03;4,64871E-03;4,93419E-03;5,21966E-03;5,50513E-03;0,00000E+00;7,43741E-05;5,21365E-05;1,16651E-05;0,00000E+00;0,00000E+00;0,00000E+00;1,26103E-04;6,06176E-05;1,54037E-04;0,00000E+00;7,24623E-05;1,07844E-04;8,94154E-05;3,50444E-04;9,83629E-04;2,24413E-04;0,00000E+00;0,00000E+00;4,56439E-04
310;0,00000E+00;1,24473E-04;0,00000E+00;8,03775E-05;0,00000E+00;9,60391E-04;2,37907E-04;1,30130E-03;0,00000E+00;0,00000E+00;5,55187E-03;1,99851E-04;1,73677E-03;5,18643E-03;4,40982E-03;0,00000E+00;0,00000E+00;1,41099E-03;1,41099E-04;3,95153E-03;0,00000E+00;2,28979E-04;0,00000E+00;2,00828E-04;5,17652E-04;1,69319E-03;0,00000E+00;1,41099E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;2,53978E-03;8,63446E-04;9,22978E-04;9,82510E-04;1,04204E-03;1,10157E-03;1,16111E-03;1,22064E-03;0,00000E+00;0,00000E+00;2,16007E-05;8,33846E-05;0,00000E+00;0,00000E+00;0,00000E+00;5,87954E-04;0,00000E+00;6,38191E-05;0,00000E+00;0,00000E+00;1,89924E-04;0,00000E+00;5,13153E-05;9,16793E-04;1,24147E-03;1,23412E-04;0,00000E+00;1,96488E-05
311;0,00000E+00;5,03662E-06;8,35741E-04;1,00847E-03;1,35808E-03;3,63742E-05;9,62656E-06;6,49306E-03;0,00000E+00;1,46255E-03;1,69702E-03;1,63571E-03;3,80697E-05;2,04152E-04;4,71219E-03;3,46455E-03;0,00000E+00;0,00000E+00;0,00000E+00;1,48474E-04;0,00000E+00;9,26530E-06;0,00000E+00;8,12620E-06;0,00000E+00;0,00000E+00;0,00000E+00;4,61939E-03;0,00000E+00;0,00000E+00;4,04197E-03;0,00000E+00;0,00000E+00;1,46841E-03;1,56953E-03;1,67065E-03;1,77178E-03;1,87290E-03;1,97402E-03;2,07514E-03;0,00000E+00;0,00000E+00;0,00000E+00;3,98739E-04;0,00000E+00;0,00000E+00;0,00000E+00;2,37907E-05;0,00000E+00;0,00000E+00;0,00000E+00;1,20138E-03;5,87703E-06;0,00000E+00;5,59998E-04;4,60360E-04;4,64723E-05;4,71089E-04;0,00000E+00;1,44737E-03
312;0,00000E+00;5,50622E-05;4,84992E-04;4,58296E-04;2,63464E-04;2,65104E-04;2,89413E-04;7,66797E-04;0,00000E+00;1,58079E-03;0,00000E+00;1,96377E-03;0,00000E+00;2,00714E-03;6,33223E-03;0,00000E+00;0,00000E+00;1,45625E-03;6,43368E-03;2,57218E-03;0,00000E+00;0,00000E+00;0,00000E+00;3,82572E-03;0,00000E+00;1,72462E-03;0,00000E+00;5,12254E-03;1,01448E-04;6,79582E-03;0,00000E+00;0,00000E+00;0,00000E+00;1,11066E-03;1,03832E-03;9,65987E-04;8,93651E-04;8,21315E-04;7,48979E-04;6,76642E-04;0,00000E+00;0,00000E+00;0,00000E+00;2,77986E-05;0,00000E+00;9,86204E-05;0,00000E+00;4,10666E-05;0,00000E+00;0,00000E+00;0,00000E+00;8,06188E-05;5,33794E-04;0,00000E+00;0,00000E+00;7,71611E-05;1,58408E-03;0,00000E+00;6,67539E-05;1,41953E-03
313;3,35177E-05;1,97354E-04;1,64462E-04;3,02565E-04;0,00000E+00;1,52462E-03;1,60741E-03;2,74835E-03;0,00000E+00;0,00000E+00;0,00000E+00;7,03854E-03;1,80362E-03;5,45417E-03;3,79644E-03;8,79281E-04;0,00000E+00;1,75856E-03;2,18167E-03;4,43937E-03;4,17751E-04;0,00000E+00;0,00000E+00;9,62485E-05;0,00000E+00;6,18140E-03;0,00000E+00;7,06068E-03;1,02307E-03;6,59461E-04;0,00000E+00;0,00000E+00;0,00000E+00;6,49126E-04;5,42633E-04;4,36140E-04;3,29647E-04;2,23154E-04;1,16661E-04;1,01682E-05;0,00000E+00;0,00000E+00;7,29126E-05;9,96359E-05;0,00000E+00;6,69902E-05;0,00000E+00;2,51006E-04;1,99615E-04;0,00000E+00;0,00000E+00;1,31569E-04;3,31994E-04;0,00000E+00;2,39834E-04;2,76561E-04;1,00741E-03;0,00000E+00;1,20918E-04;0,00000E+00
