location_code,location_name,month,month_name,measurement_table,measurement_setup,sun_included,patch,patch_almucantar,patch_azimuth,time_bin_minutes,time_of_day,samples_averaged,was_filled,room,fit_unit,fit_rmse,fit_mae,fit_success,fit_nfev,target_integral,reconstructed_integral,coolWhite_pct,blue_pct,cyan_pct,green_pct,amber_pct,red_pct,deepRed_pct,farRed_pct
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,485,08:05,2.0,False,G7,photon,0.020264970751461026,0.015405041849842371,True,5,15.094322628838022,10.610493985713836,2.3312468300758318,1.6183144846701476,1.7613860373444001,0.9413670462067861,2.5352359723440587,7.579078284798735e-26,2.0722677082965704,2.6993716709272544
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,490,08:10,1.0,False,G7,photon,0.01808079168772218,0.01377980152093599,True,6,13.3379739631307,9.33814877372571,2.2608718120458717,1.5395039856250772,1.5557900256893082,0.8351035105572087,2.3655223091906996,5.849168658164542e-27,1.9669301596493585,2.4945053284047165
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,495,08:15,3.0,False,G7,photon,0.015798187121540345,0.012048285255895755,True,5,11.394229362837878,7.923699511549003,2.1542019379907043,1.4431812250104976,1.4371330643057925,0.7794318268266067,2.244307957021803,3.781589476673466e-25,1.8493896414024704,2.267784989245732
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,500,08:20,1.0,False,G7,photon,0.01481921434459712,0.011313660321150094,True,8,10.583050906839581,7.283124310236979,2.0560998608554195,1.4445133972315851,1.4578898462634133,0.8379898346731991,2.3559333753832195,1.9190388742175213e-31,1.7760567446054416,2.173233850313288
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,510,08:30,3.0,False,G7,photon,0.06593071908046287,0.04954896592997326,True,7,55.31071926729294,39.67387372903438,4.947839071112771,3.1024918483957125,4.511743027200934,2.405897032728696,2.9873123666040726,6.634535600525362e-27,3.653372424118185,6.194847783557402
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,515,08:35,3.0,False,G7,photon,0.06645388293876162,0.04992804615606395,True,4,55.676778344998816,39.91890065250866,4.958321678585149,3.1070897783558067,4.528944877617078,2.4240594440793157,3.0402534758336506,3.3608287899248106e-24,3.6667098266089106,6.242126714241152
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,520,08:40,2.0,False,G7,photon,0.09514035740329628,0.07159695651927916,True,5,80.0307994674358,57.37433243113109,6.461023257087195,3.898656851399367,6.026699868652812,2.920853831169187,3.6420571709153733,1.9006460491137585e-24,4.630900999151385,8.45361286567593
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,525,08:45,2.0,False,G7,photon,0.01810387131731917,0.013784760601821894,True,10,13.34804371774247,9.357229907497725,2.2578317244507606,1.5382403033329723,1.5607344302967996,0.8557478352373216,2.407666756703082,6.860864260049837e-08,1.9666172740664294,2.4604573146946396
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,530,08:50,1.0,False,G7,photon,0.019880607805541576,0.015105699503458884,True,5,14.8202610539789,10.41127917384798,2.346987109955634,1.5898650948427884,1.6195959467555159,0.8946727206650064,2.472752250680797,4.560447214237639e-24,2.0548165918193706,2.6250358512260186
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,535,08:55,1.0,False,G7,photon,0.019074010980719775,0.014507511202022982,True,4,14.1710550567248,9.948108891305093,2.309638151673756,1.5680127380783233,1.5921796016143597,0.8796203241687318,2.437169525020581,2.3376906925034945e-21,2.013299950424586,2.5513355783236626
