Time;10:50:38;10:50:48;10:50:55;10:51:02;10:51:08;10:51:15;10:51:23;10:51:32;10:52:59;10:53:08;10:53:17;10:53:29;10:53:43;10:54:07;10:54:15;10:54:24;10:54:32;10:54:39;10:54:45;10:54:55;10:55:41;10:56:09;10:56:57;10:57:08;10:57:15;10:57:30;10:57:36;10:57:43;10:57:50;10:57:58;10:58:05;10:58:13;10:58:20;10:58:29;10:58:37;10:58:45;10:58:53;10:59:00;10:59:08;10:59:15;10:59:31;10:59:39;10:59:58;11:00:07;11:00:14;11:00:22;11:00:30;11:00:37;11:00:44;11:00:51;11:01:00;11:01:37;11:01:57;11:02:04;11:02:12;11:02:19;11:02:27;11:02:34;11:02:42;11:02:50;11:03:12;11:03:40;11:03:48;11:03:57;11:04:04;11:04:10;11:04:18;11:04:26;11:04:33;11:04:40;11:04:48;11:04:56;11:05:03;11:05:11;11:05:18;11:05:25;11:05:37;11:05:44;11:05:51;11:05:59;11:06:23;11:06:32;11:06:39;11:06:46;11:06:53;11:07:00;11:07:08;11:07:16;11:07:23;11:07:32;11:07:39;11:07:46;11:07:53;11:08:01;11:08:08;11:08:15;11:08:22;11:08:31;11:08:38;11:08:45;11:09:40;11:10:40;11:10:52;11:11:03;11:11:10;11:11:17;11:11:26;11:11:33;11:11:41;11:11:48;11:11:55;11:12:03;11:12:11;11:12:27;11:12:37;11:14:12;11:14:20;11:14:28;11:14:35;11:14:43;11:15:05;11:15:16;11:15:41;11:15:51;11:16:07;11:16:17;11:16:23;11:16:35;11:16:41;11:16:48;11:17:05;11:17:14;11:18:12;11:18:20;11:18:31;11:18:42;11:21:29;11:21:47;11:21:57;11:22:05;11:23:48;11:23:59;11:24:16;11:24:28;11:24:46;11:25:00;11:25:11;11:25:18;11:25:25;11:25:33;11:25:49;11:26:01;11:26:10;11:29:22;11:29:33;11:29:39;11:29:50;11:29:58;11:30:06;11:30:17
662;8,71448E-03;2,11046E-02;3,36366E-02;4,59773E-02;5,74775E-02;6,93227E-02;8,12039E-02;9,19895E-02;1,03424E-01;1,14380E-01;1,24127E-01;1,34553E-01;1,45015E-01;1,53913E-01;1,64904E-01;1,73277E-01;1,83365E-01;1,93624E-01;2,00311E-01;2,10339E-01;3,12184E-05;2,18935E-05;3,23451E-05;2,16921E-05;1,65655E-05;0,00000E+00;1,65941E-04;1,13410E-04;2,37410E-04;4,14265E-05;0,00000E+00;1,96897E-04;0,00000E+00;0,00000E+00;1,39152E-04;2,78304E-05;0,00000E+00;0,00000E+00;0,00000E+00;2,87086E-04;1,92560E-05;3,19904E-06;6,81557E-05;4,24211E-05;6,95759E-06;1,45186E-05;2,42962E-04;2,95957E-05;1,50532E-04;2,47861E-04;7,96188E-05;8,34911E-05;2,07860E-05;0,00000E+00;1,30598E-04;1,41336E-04;1,78272E-04;9,36562E-05;9,08431E-05;1,67304E-04;4,37741E-06;5,38417E-05;5,30950E-05;1,62143E-05;5,10223E-05;1,44088E-04;1,51123E-04;1,29538E-04;1,08454E-04;1,26737E-04;3,77827E-05;1,92539E-04;7,75921E-05;1,40503E-04;1,26340E-04;2,00464E-04;1,85233E-04;2,87554E-04;2,01786E-04;2,48286E-04;4,11496E-03;1,00880E-02;1,58075E-02;2,15793E-02;2,72163E-02;3,25175E-02;3,80870E-02;4,32799E-02;4,89218E-02;5,38932E-02;5,88137E-02;6,38533E-02;6,87973E-02;7,40369E-02;7,75330E-02;8,23935E-02;8,80752E-02;9,17323E-02;9,60170E-02;1,00470E-01;9,71935E-05;3,00483E-04;4,62646E-04;6,27414E-04;8,81909E-04;1,11090E-03;1,52736E-03;1,81913E-03;1,99424E-03;2,26754E-03;2,57239E-03;2,81858E-03;3,39410E-03;3,49952E-03;3,90688E-03;4,27894E-03;5,26303E-03;5,39452E-03;5,95479E-03;6,13009E-03;2,50109E-02;5,71230E-02;9,06311E-02;1,23418E-01;1,70968E-01;2,07990E-01;2,43054E-01;2,77417E-01;3,11048E-01;3,44698E-01;3,78416E-01;4,11937E-01;4,41284E-01;4,67967E-01;4,98892E-01;5,27895E-01;5,44123E-01;5,73594E-01;5,98113E-01;6,25678E-01;1,54691E-04;4,14260E-04;5,70335E-04;8,16653E-04;1,00244E-03;1,24538E-03;1,54563E-03;1,94468E-03;2,03236E-03;2,51929E-03;2,76039E-03;3,10283E-03;3,29814E-03;3,66114E-03;4,08358E-03;4,17668E-03;4,64562E-03;5,10813E-03;5,46733E-03;5,56447E-03
663;8,43971E-03;2,08482E-02;3,26284E-02;4,43371E-02;5,63337E-02;6,68963E-02;7,79588E-02;8,85614E-02;1,00948E-01;1,12230E-01;1,20000E-01;1,31763E-01;1,40160E-01;1,49567E-01;1,59109E-01;1,67735E-01;1,78549E-01;1,87212E-01;1,95915E-01;2,01985E-01;6,77726E-06;0,00000E+00;1,68353E-05;6,25089E-05;1,46347E-05;0,00000E+00;1,49928E-04;5,90286E-05;5,92349E-05;1,46913E-04;0,00000E+00;6,47180E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;4,22982E-05;2,50633E-04;1,00225E-05;3,72760E-05;1,92720E-05;1,57546E-05;1,05746E-05;0,00000E+00;7,55058E-05;0,00000E+00;1,21002E-04;1,42435E-04;1,89484E-04;3,52485E-05;1,02673E-04;5,80154E-05;2,72553E-04;3,32869E-04;8,90063E-05;5,13138E-05;2,62834E-05;9,00893E-05;3,39305E-05;2,28730E-05;1,17990E-04;5,72521E-05;1,19845E-04;1,31272E-04;7,57688E-05;3,63562E-05;3,56646E-05;2,20858E-04;5,18008E-06;3,21267E-04;1,17547E-04;1,16106E-04;3,61267E-04;1,55814E-04;6,74797E-05;1,30443E-04;2,00469E-04;3,07354E-04;4,01946E-03;9,78958E-03;1,55149E-02;2,11790E-02;2,66752E-02;3,20043E-02;3,71864E-02;4,18583E-02;4,74958E-02;5,21345E-02;5,74757E-02;6,25238E-02;6,72261E-02;7,18634E-02;7,61703E-02;8,04722E-02;8,56577E-02;8,95840E-02;9,36615E-02;9,89665E-02;9,99490E-05;2,43346E-04;4,06676E-04;5,39134E-04;8,11228E-04;9,85844E-04;1,14168E-03;1,65800E-03;1,83868E-03;2,02879E-03;2,35529E-03;2,60273E-03;2,84647E-03;3,19666E-03;3,92660E-03;3,99779E-03;4,24888E-03;4,40168E-03;4,96161E-03;5,64962E-03;2,46760E-02;5,67501E-02;9,00455E-02;1,23615E-01;1,70949E-01;2,09770E-01;2,44406E-01;2,80680E-01;3,14803E-01;3,49606E-01;3,85593E-01;4,18921E-01;4,50636E-01;4,80994E-01;5,08535E-01;5,38537E-01;5,62310E-01;5,89668E-01;6,18526E-01;6,42487E-01;1,76521E-04;3,97072E-04;5,93023E-04;8,97074E-04;1,08915E-03;1,29955E-03;1,71767E-03;1,96313E-03;2,24021E-03;2,54551E-03;2,81238E-03;3,55647E-03;3,63023E-03;4,23729E-03;4,18293E-03;4,70015E-03;5,29033E-03;5,24618E-03;5,84831E-03;6,24710E-03
664;8,24103E-03;2,04653E-02;3,16345E-02;4,36784E-02;5,56588E-02;6,50329E-02;7,64814E-02;8,69529E-02;9,74441E-02;1,09787E-01;1,16180E-01;1,27966E-01;1,36573E-01;1,47340E-01;1,55071E-01;1,64999E-01;1,71934E-01;1,78739E-01;1,89733E-01;1,98112E-01;2,01414E-05;6,63254E-06;1,27871E-04;3,84484E-06;6,50016E-05;0,00000E+00;8,03087E-05;2,31291E-04;6,49886E-05;1,10284E-05;5,94037E-04;3,56145E-04;0,00000E+00;0,00000E+00;9,13368E-05;0,00000E+00;2,74010E-04;2,55743E-04;5,79773E-05;1,37593E-05;1,81497E-05;3,63949E-05;1,44670E-06;9,92748E-06;1,90612E-05;5,14606E-05;1,89951E-06;6,55632E-05;1,10960E-05;9,52566E-06;9,33164E-05;1,94453E-04;7,70742E-06;4,35507E-06;3,54873E-04;4,36662E-05;1,42951E-06;2,22043E-06;1,85375E-04;2,04842E-04;2,84064E-05;6,58442E-05;1,37965E-04;1,30149E-04;1,04900E-04;1,21222E-04;1,02581E-04;1,30393E-04;2,20414E-04;7,50814E-05;0,00000E+00;2,32830E-04;8,90827E-05;1,26676E-04;2,88691E-04;1,48118E-04;1,60926E-04;5,64450E-06;3,24948E-04;1,72293E-05;3,98137E-03;9,48647E-03;1,49320E-02;2,04060E-02;2,55928E-02;3,12254E-02;3,60837E-02;4,12256E-02;4,59636E-02;5,12457E-02;5,61167E-02;6,04179E-02;6,55362E-02;7,03078E-02;7,47293E-02;7,85296E-02;8,29568E-02;8,78332E-02;9,10944E-02;9,52460E-02;2,66830E-05;1,49820E-04;2,86549E-04;5,53639E-04;7,82377E-04;8,21208E-04;1,06940E-03;1,26086E-03;1,34097E-03;2,13260E-03;2,15542E-03;2,11576E-03;2,70772E-03;3,13395E-03;3,36531E-03;3,39341E-03;3,84065E-03;4,20770E-03;4,89125E-03;4,58204E-03;2,33914E-02;5,46742E-02;8,68722E-02;1,20453E-01;1,67106E-01;2,05822E-01;2,39904E-01;2,75685E-01;3,15424E-01;3,45623E-01;3,81887E-01;4,15889E-01;4,49934E-01;4,83449E-01;5,14993E-01;5,45710E-01;5,71691E-01;6,02561E-01;6,31334E-01;6,55106E-01;2,05709E-04;4,32505E-04;6,03685E-04;9,45742E-04;1,22005E-03;1,55232E-03;1,81934E-03;2,27132E-03;2,44445E-03;2,74363E-03;3,11962E-03;3,47875E-03;3,89666E-03;4,30732E-03;4,86098E-03;5,20102E-03;5,56966E-03;5,98571E-03;6,65841E-03;6,78785E-03
665;8,05199E-03;1,95256E-02;3,10692E-02;4,27516E-02;5,27273E-02;6,33527E-02;7,50849E-02;8,48072E-02;9,31960E-02;1,03961E-01;1,14540E-01;1,21103E-01;1,32631E-01;1,42336E-01;1,52387E-01;1,59901E-01;1,69780E-01;1,76312E-01;1,83850E-01;1,93227E-01;1,38590E-05;8,39353E-06;8,57227E-05;0,00000E+00;1,28948E-04;4,87871E-05;0,00000E+00;2,19026E-04;6,43045E-06;9,49292E-05;1,16086E-04;4,90328E-04;0,00000E+00;2,98037E-04;1,62624E-05;2,27673E-04;0,00000E+00;5,23996E-05;0,00000E+00;2,46586E-05;1,70080E-06;3,71541E-05;2,92202E-05;5,81667E-05;5,28527E-05;5,82544E-05;7,85917E-05;0,00000E+00;5,98510E-05;1,87017E-04;1,13411E-04;6,50495E-05;2,45958E-04;1,05465E-04;7,28089E-05;0,00000E+00;2,63572E-04;5,23263E-05;8,93687E-06;0,00000E+00;5,40014E-05;4,42646E-05;6,46437E-05;8,33580E-05;8,78218E-05;3,59442E-05;8,37238E-05;2,30352E-05;1,87349E-04;0,00000E+00;3,39056E-05;1,12135E-04;2,33678E-04;1,38230E-04;1,87122E-04;2,37611E-04;4,26227E-05;8,67276E-05;1,98418E-04;3,50373E-04;3,80991E-03;9,36121E-03;1,47065E-02;2,00101E-02;2,54762E-02;2,99794E-02;3,53366E-02;4,03198E-02;4,50155E-02;5,00899E-02;5,51336E-02;5,89573E-02;6,31497E-02;6,78096E-02;7,31050E-02;7,62166E-02;8,20812E-02;8,50461E-02;8,92925E-02;9,28520E-02;6,88266E-05;1,99650E-04;3,29615E-04;5,59497E-04;7,55749E-04;8,23001E-04;1,20947E-03;1,20725E-03;1,47959E-03;1,50371E-03;1,73257E-03;2,30595E-03;2,09848E-03;2,63907E-03;2,49124E-03;3,30559E-03;3,42234E-03;4,13840E-03;4,03309E-03;4,41421E-03;2,14669E-02;5,04301E-02;8,14090E-02;1,12780E-01;1,56181E-01;1,93991E-01;2,27096E-01;2,63888E-01;2,99082E-01;3,34635E-01;3,71218E-01;4,05567E-01;4,39257E-01;4,70913E-01;5,02143E-01;5,34555E-01;5,67150E-01;5,98456E-01;6,27310E-01;6,54582E-01;2,16485E-04;4,76034E-04;7,73070E-04;1,00546E-03;1,33050E-03;1,62685E-03;2,11859E-03;2,29976E-03;2,73607E-03;3,11230E-03;3,47445E-03;3,78116E-03;4,38635E-03;4,77514E-03;5,06550E-03;5,33924E-03;6,06510E-03;6,33465E-03;6,92280E-03;7,48358E-03
666;7,80308E-03;1,91154E-02;2,99923E-02;4,13877E-02;5,17931E-02;6,19697E-02;7,21754E-02;8,19387E-02;9,15224E-02;1,01214E-01;1,11452E-01;1,19038E-01;1,28681E-01;1,37288E-01;1,47859E-01;1,55060E-01;1,63388E-01;1,72213E-01;1,79954E-01;1,84958E-01;1,17863E-05;6,98983E-05;3,34004E-05;4,47381E-05;1,22102E-04;2,17333E-05;0,00000E+00;1,28958E-04;2,53385E-05;2,00295E-04;0,00000E+00;2,83248E-04;1,30400E-04;1,21241E-04;5,07109E-05;9,41775E-05;0,00000E+00;2,28208E-04;0,00000E+00;9,71648E-05;2,04568E-05;5,24394E-05;3,51680E-05;1,10375E-04;4,34665E-05;1,29257E-04;5,66736E-05;0,00000E+00;4,19900E-05;0,00000E+00;7,74527E-05;8,69331E-05;0,00000E+00;1,14231E-04;1,07536E-04;8,94024E-05;0,00000E+00;1,61375E-04;2,13752E-04;0,00000E+00;3,43867E-05;7,67631E-05;5,18977E-05;5,44158E-05;1,33758E-04;1,14131E-04;1,35819E-04;1,73267E-04;1,05462E-04;0,00000E+00;1,69824E-04;2,15633E-04;2,31509E-04;3,98443E-05;2,82649E-04;1,35837E-04;3,05693E-04;7,29765E-05;6,18728E-05;1,50485E-04;3,71181E-03;9,05469E-03;1,43620E-02;1,96480E-02;2,45584E-02;2,96296E-02;3,42328E-02;3,91428E-02;4,39088E-02;4,85622E-02;5,34152E-02;5,76230E-02;6,22579E-02;6,62347E-02;7,02825E-02;7,42601E-02;7,94535E-02;8,31724E-02;8,74641E-02;9,05384E-02;7,19323E-05;1,88668E-04;2,40476E-04;4,33677E-04;6,85691E-04;6,25704E-04;1,05111E-03;1,19217E-03;1,18463E-03;1,79873E-03;1,59827E-03;2,10670E-03;2,03638E-03;2,11820E-03;2,57672E-03;2,87211E-03;3,36938E-03;3,29381E-03;3,82441E-03;3,64487E-03;1,87747E-02;4,51497E-02;7,35254E-02;1,02335E-01;1,43744E-01;1,78344E-01;2,11020E-01;2,45193E-01;2,80345E-01;3,12579E-01;3,48170E-01;3,81967E-01;4,16584E-01;4,48310E-01;4,79778E-01;5,13996E-01;5,50939E-01;5,80428E-01;6,11990E-01;6,41654E-01;2,17962E-04;4,65350E-04;7,95550E-04;1,16481E-03;1,51311E-03;1,77548E-03;2,14936E-03;2,55192E-03;2,90053E-03;3,40976E-03;3,81825E-03;4,31950E-03;4,90481E-03;4,96200E-03;5,45860E-03;6,09431E-03;6,53752E-03;7,16812E-03;7,82014E-03;7,89322E-03
667;7,51780E-03;1,85726E-02;2,93877E-02;3,99567E-02;5,07240E-02;6,02647E-02;6,97154E-02;7,97179E-02;8,95008E-02;9,84019E-02;1,07700E-01;1,16712E-01;1,25927E-01;1,32859E-01;1,42259E-01;1,49976E-01;1,57396E-01;1,67478E-01;1,75318E-01;1,82355E-01;3,51514E-05;9,04654E-05;2,28515E-05;4,94268E-05;7,01828E-05;2,40109E-05;0,00000E+00;4,05351E-05;1,11238E-04;7,14824E-05;0,00000E+00;1,25624E-04;1,44066E-04;4,00182E-05;6,74513E-05;1,04047E-04;0,00000E+00;2,40109E-05;3,42772E-05;0,00000E+00;3,57452E-05;3,24472E-05;2,05124E-05;2,80128E-05;7,94426E-05;0,00000E+00;8,20225E-06;5,01209E-05;4,93765E-05;0,00000E+00;1,94845E-04;1,30321E-04;7,68030E-05;0,00000E+00;2,37698E-04;9,87719E-05;0,00000E+00;1,51810E-04;1,97248E-04;5,08564E-05;2,80354E-05;4,00391E-05;5,96710E-05;6,98053E-05;1,41167E-04;1,50442E-04;1,03354E-04;1,39938E-04;1,72260E-04;5,21160E-05;4,00182E-05;2,12592E-04;1,85159E-04;4,40201E-05;1,78286E-04;2,13115E-04;2,83841E-04;2,56655E-04;1,65941E-04;8,65692E-05;3,62350E-03;8,85131E-03;1,39744E-02;1,91074E-02;2,41020E-02;2,87364E-02;3,34447E-02;3,81169E-02;4,26845E-02;4,68622E-02;5,20446E-02;5,61766E-02;6,03334E-02;6,49962E-02;6,84967E-02;7,27996E-02;7,73349E-02;8,11438E-02;8,47236E-02;8,91137E-02;8,74493E-05;1,51136E-04;2,94785E-04;3,91304E-04;5,94068E-04;3,88036E-04;8,47469E-04;1,23511E-03;1,03456E-03;1,30980E-03;1,13894E-03;1,82410E-03;1,86864E-03;2,09269E-03;2,52228E-03;2,55189E-03;3,35608E-03;3,14286E-03;3,51240E-03;3,25130E-03;1,62038E-02;3,88760E-02;6,38617E-02;8,97457E-02;1,26966E-01;1,59044E-01;1,89179E-01;2,20638E-01;2,52176E-01;2,84363E-01;3,16949E-01;3,50745E-01;3,84728E-01;4,16547E-01;4,49201E-01;4,81614E-01;5,20937E-01;5,54471E-01;5,86225E-01;6,13418E-01;2,24951E-04;5,13613E-04;8,72395E-04;1,27975E-03;1,67370E-03;1,95650E-03;2,33375E-03;2,81951E-03;3,25719E-03;3,69467E-03;4,09814E-03;4,62386E-03;5,37775E-03;5,55730E-03;6,19159E-03;6,62603E-03;7,06307E-03;7,90544E-03;8,39848E-03;8,86650E-03
668;7,40988E-03;1,81841E-02;2,85449E-02;3,89041E-02;4,89023E-02;5,88097E-02;6,80726E-02;7,84190E-02;8,69014E-02;9,57232E-02;1,04949E-01;1,13465E-01;1,21348E-01;1,30411E-01;1,38317E-01;1,47702E-01;1,53607E-01;1,60950E-01;1,69535E-01;1,76950E-01;7,43765E-06;1,24497E-04;4,67340E-05;1,58894E-04;5,47932E-05;0,00000E+00;0,00000E+00;5,93373E-05;3,73861E-05;1,74399E-04;0,00000E+00;3,54490E-05;0,00000E+00;1,56215E-04;1,28812E-04;7,81077E-05;0,00000E+00;2,49945E-04;1,15203E-05;3,28052E-04;4,41777E-06;3,62346E-05;3,20289E-05;8,20131E-05;8,86680E-05;8,80142E-05;2,75670E-06;1,10290E-04;1,17858E-04;0,00000E+00;8,70550E-05;1,15203E-05;6,08152E-05;7,34613E-05;1,98254E-04;0,00000E+00;3,58679E-04;5,10222E-05;1,58525E-04;1,56157E-04;3,22735E-05;4,16279E-05;2,00549E-05;6,79994E-05;8,16866E-05;7,80919E-05;1,58944E-05;2,19582E-05;1,16092E-04;2,37756E-04;0,00000E+00;1,06778E-04;1,18559E-04;1,17162E-04;1,63373E-04;3,17277E-04;1,16256E-04;1,79499E-04;1,94807E-04;2,00093E-04;3,59902E-03;8,59049E-03;1,36791E-02;1,85093E-02;2,35684E-02;2,82628E-02;3,28427E-02;3,69619E-02;4,15290E-02;4,57140E-02;5,09605E-02;5,47787E-02;5,93837E-02;6,32236E-02;6,67253E-02;7,09456E-02;7,52081E-02;7,93599E-02;8,28073E-02;8,66522E-02;2,01667E-05;1,56962E-04;2,57830E-04;3,68820E-04;4,85314E-04;6,45199E-04;7,11878E-04;1,08400E-03;1,14259E-03;1,22035E-03;1,36472E-03;1,75539E-03;2,01275E-03;2,25833E-03;2,17668E-03;2,58771E-03;3,05691E-03;2,82316E-03;3,15201E-03;3,34098E-03;1,33748E-02;3,27576E-02;5,41183E-02;7,69778E-02;1,10085E-01;1,38120E-01;1,65377E-01;1,93695E-01;2,22311E-01;2,52595E-01;2,83460E-01;3,14038E-01;3,44740E-01;3,79270E-01;4,08362E-01;4,38718E-01;4,83697E-01;5,11908E-01;5,49040E-01;5,75044E-01;2,49107E-04;6,07655E-04;9,30075E-04;1,34216E-03;1,75474E-03;2,14089E-03;2,50377E-03;3,09012E-03;3,53319E-03;4,12966E-03;4,39783E-03;5,03072E-03;5,66348E-03;6,02346E-03;6,71134E-03;7,30648E-03;8,07932E-03;8,47519E-03;8,71471E-03;9,58987E-03
669;7,15852E-03;1,74377E-02;2,72967E-02;3,79895E-02;4,72154E-02;5,66464E-02;6,63679E-02;7,54842E-02;8,35835E-02;9,20074E-02;1,02955E-01;1,09245E-01;1,20669E-01;1,26665E-01;1,33820E-01;1,41621E-01;1,53922E-01;1,57880E-01;1,65426E-01;1,71416E-01;1,29424E-06;0,00000E+00;0,00000E+00;5,10904E-05;2,52099E-05;0,00000E+00;1,00884E-04;2,15832E-06;2,84503E-06;3,58398E-04;0,00000E+00;0,00000E+00;6,81858E-07;0,00000E+00;1,05688E-05;1,79315E-04;0,00000E+00;5,74988E-05;3,65523E-04;1,19771E-04;3,46292E-05;8,20249E-05;1,30989E-05;1,94220E-05;1,35442E-04;0,00000E+00;4,81565E-05;0,00000E+00;3,31310E-05;1,35187E-04;1,87511E-06;1,53418E-06;4,29448E-05;1,12663E-05;2,35922E-04;1,59919E-05;2,47072E-04;1,07462E-04;1,11141E-04;3,44021E-04;1,11353E-06;7,50521E-05;5,91418E-05;6,94300E-08;1,99334E-05;1,75743E-04;1,79573E-04;2,59309E-04;2,01310E-04;2,25782E-04;2,21946E-04;1,85318E-04;2,35983E-05;1,53330E-04;8,88052E-05;3,02021E-04;1,38409E-04;2,77015E-04;1,53042E-04;2,78133E-04;3,47911E-03;8,41118E-03;1,31769E-02;1,81091E-02;2,28038E-02;2,72419E-02;3,18754E-02;3,64136E-02;4,13401E-02;4,53411E-02;4,90785E-02;5,34851E-02;5,80315E-02;6,03394E-02;6,55381E-02;6,96637E-02;7,23383E-02;7,70181E-02;8,20853E-02;8,44002E-02;5,19076E-05;1,79528E-04;1,88728E-04;1,92677E-04;4,02859E-04;6,22526E-04;8,21044E-04;8,64473E-04;9,21487E-04;1,38678E-03;1,55689E-03;1,32683E-03;1,38842E-03;1,85455E-03;2,23334E-03;2,00459E-03;3,00502E-03;2,60424E-03;3,44510E-03;3,61301E-03;1,09240E-02;2,70671E-02;4,47023E-02;6,42378E-02;9,28011E-02;1,17292E-01;1,40170E-01;1,65771E-01;1,91049E-01;2,18119E-01;2,46653E-01;2,74627E-01;3,03758E-01;3,31770E-01;3,63238E-01;3,90745E-01;4,34877E-01;4,69121E-01;4,94260E-01;5,26794E-01;2,41457E-04;6,74559E-04;1,08932E-03;1,50726E-03;1,87961E-03;2,36907E-03;2,91128E-03;3,22791E-03;3,78930E-03;4,30395E-03;4,80335E-03;5,33394E-03;6,09813E-03;6,40036E-03;7,22585E-03;7,83449E-03;8,41698E-03;9,04581E-03;9,64900E-03;1,03984E-02
670;6,91675E-03;1,70387E-02;2,68956E-02;3,62991E-02;4,56101E-02;5,42447E-02;6,42916E-02;7,29466E-02;8,16502E-02;9,02582E-02;9,93029E-02;1,05570E-01;1,14287E-01;1,21762E-01;1,30406E-01;1,38972E-01;1,46063E-01;1,52247E-01;1,61080E-01;1,65907E-01;6,06258E-05;0,00000E+00;0,00000E+00;1,08145E-04;0,00000E+00;0,00000E+00;1,02514E-04;9,46655E-05;1,31084E-04;9,13884E-05;0,00000E+00;5,70115E-05;2,99067E-05;9,05799E-06;4,95257E-04;2,99067E-04;0,00000E+00;3,17030E-05;5,98134E-05;2,22934E-04;3,37137E-05;2,23451E-05;6,96435E-06;1,68763E-05;7,30588E-05;0,00000E+00;1,13794E-05;1,62550E-05;5,87164E-06;9,01500E-05;1,20740E-04;6,72901E-05;4,82024E-05;1,86356E-05;3,90238E-05;2,34825E-04;7,19002E-05;1,04569E-05;3,61111E-05;1,48901E-04;1,34470E-05;9,10707E-06;6,62616E-05;4,08606E-05;3,36451E-05;7,63619E-05;1,28684E-04;2,30506E-05;4,68091E-05;1,52004E-04;6,95546E-05;1,48850E-04;2,30626E-04;4,98189E-05;1,98201E-04;2,16824E-04;3,10660E-04;2,59345E-04;1,28500E-04;1,27649E-04;3,33308E-03;8,10177E-03;1,30063E-02;1,76630E-02;2,20536E-02;2,66655E-02;3,10902E-02;3,54207E-02;3,94532E-02;4,37107E-02;4,82141E-02;5,20304E-02;5,58890E-02;6,02897E-02;6,36018E-02;6,74270E-02;7,20570E-02;7,50020E-02;7,91360E-02;8,22370E-02;3,03699E-05;1,61652E-04;1,38376E-04;3,25939E-04;4,31772E-04;5,32817E-04;4,26777E-04;6,62936E-04;8,42606E-04;1,23228E-03;1,53656E-03;1,36240E-03;1,60524E-03;1,86535E-03;1,65280E-03;1,96262E-03;2,19428E-03;2,35201E-03;2,70446E-03;2,59814E-03;8,81995E-03;2,20388E-02;3,71722E-02;5,36994E-02;7,70828E-02;9,69825E-02;1,17484E-01;1,39633E-01;1,61801E-01;1,85354E-01;2,10044E-01;2,35849E-01;2,64143E-01;2,87647E-01;3,14649E-01;3,40575E-01;3,82926E-01;4,12360E-01;4,43008E-01;4,68889E-01;2,70124E-04;6,91728E-04;1,12634E-03;1,64158E-03;1,91220E-03;2,43938E-03;2,96594E-03;3,48711E-03;4,11591E-03;4,65860E-03;5,29206E-03;5,75441E-03;6,53529E-03;7,07200E-03;7,77795E-03;8,51311E-03;9,00739E-03;9,91874E-03;1,04871E-02;1,07075E-02
671;6,77670E-03;1,66294E-02;2,61005E-02;3,52889E-02;4,44842E-02;5,33331E-02;6,22808E-02;7,12596E-02;8,00543E-02;8,89586E-02;9,74019E-02;1,03357E-01;1,11266E-01;1,19597E-01;1,27338E-01;1,33573E-01;1,43448E-01;1,49004E-01;1,55091E-01;1,60833E-01;1,59773E-05;2,38223E-05;1,09352E-05;1,17646E-05;0,00000E+00;0,00000E+00;0,00000E+00;1,05226E-04;1,50142E-05;9,07371E-05;5,55088E-05;2,38673E-04;0,00000E+00;2,15904E-05;7,55663E-05;0,00000E+00;8,74819E-05;7,55663E-05;1,13726E-04;1,89853E-04;3,76766E-05;1,60894E-05;2,70629E-05;3,75515E-05;6,01654E-05;1,91678E-05;8,99246E-05;7,36316E-05;1,23631E-04;1,60441E-04;1,04881E-04;2,18705E-05;2,03101E-04;4,44194E-05;1,52242E-04;2,40454E-04;9,82927E-05;0,00000E+00;1,11438E-04;6,40664E-05;1,76182E-05;2,17074E-05;3,32273E-05;1,04388E-04;5,46762E-05;0,00000E+00;6,22242E-05;1,01410E-04;9,74734E-05;1,38463E-04;4,03903E-05;6,43078E-05;1,12606E-04;1,53740E-04;2,26979E-04;1,53093E-04;1,24397E-04;1,63890E-04;2,13580E-04;1,46832E-04;3,28493E-03;8,03257E-03;1,26133E-02;1,71311E-02;2,16100E-02;2,59817E-02;3,04246E-02;3,41524E-02;3,86175E-02;4,28851E-02;4,64802E-02;5,03848E-02;5,44944E-02;5,82848E-02;6,25047E-02;6,60733E-02;7,00940E-02;7,28871E-02;7,62478E-02;7,99335E-02;1,10598E-05;1,37962E-04;1,62539E-04;3,85826E-04;3,83059E-04;6,13849E-04;7,42465E-04;6,76587E-04;7,07941E-04;1,01272E-03;1,33765E-03;1,47041E-03;1,69152E-03;1,59995E-03;1,57625E-03;1,89494E-03;1,95481E-03;2,22737E-03;2,21116E-03;2,87529E-03;7,07943E-03;1,78143E-02;3,02360E-02;4,40591E-02;6,34237E-02;8,00448E-02;9,75431E-02;1,16683E-01;1,36181E-01;1,55332E-01;1,76373E-01;2,00108E-01;2,23419E-01;2,46356E-01;2,71303E-01;2,93683E-01;3,31217E-01;3,59138E-01;3,86878E-01;4,13118E-01;2,87931E-04;7,21285E-04;1,17151E-03;1,71895E-03;2,15817E-03;2,66153E-03;3,31177E-03;3,71269E-03;4,48861E-03;4,98462E-03;5,86143E-03;6,26687E-03;7,15673E-03;7,82163E-03;8,53786E-03;9,08591E-03;9,65490E-03;1,05510E-02;1,12499E-02;1,20559E-02
