x;0,3296;0,3300;0,3301;0,3304;0,3305;0,3305;0,3308;0,3307;0,3308;0,3309;0,3309;0,3309;0,3310;0,3310;0,3311;0,3313;0,3312;0,3311;0,3313;0,3314;0,7185;0,7203;0,7190;0,7188;0,7208;0,7184;0,7203;0,7184;0,7198;0,7194;0,7204;0,7190;0,7203;0,7192;0,7188;0,7204;0,7201;0,7193;0,7195;0,7204;0,6002;0,6305;0,6646;0,6182;0,6757;0,6497;0,6707;0,6769;0,6860;0,6844;0,6968;0,6858;0,6699;0,6742;0,6871;0,6878;0,6981;0,7041;0,6915;0,6962
y;0,3433;0,3439;0,3443;0,3447;0,3450;0,3452;0,3454;0,3457;0,3457;0,3457;0,3461;0,3460;0,3461;0,3462;0,3464;0,3466;0,3466;0,3465;0,3468;0,3467;0,2780;0,2769;0,2774;0,2773;0,2779;0,2780;0,2780;0,2774;0,2782;0,2774;0,2783;0,2771;0,2784;0,2770;0,2776;0,2782;0,2780;0,2779;0,2782;0,2777;0,2639;0,3052;0,2895;0,2704;0,2824;0,2726;0,2875;0,2805;0,2860;0,2709;0,2722;0,2706;0,2716;0,2767;0,2749;0,2721;0,2764;0,2766;0,2816;0,2817
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wavelength [nm];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)]
363;2,28210E-04;3,38418E-04;3,33498E-04;8,73669E-04;4,03664E-05;2,97395E-04;1,74110E-03;2,11779E-03;4,11204E-04;2,71586E-03;8,90941E-04;7,24630E-04;2,68659E-03;1,11984E-03;1,27072E-03;1,51523E-03;2,63082E-03;4,46235E-03;2,18458E-03;9,47020E-04;0,00000E+00;0,00000E+00;0,00000E+00;3,54526E-04;1,19934E-04;0,00000E+00;2,64406E-05;0,00000E+00;0,00000E+00;0,00000E+00;4,00315E-04;0,00000E+00;1,40592E-04;0,00000E+00;0,00000E+00;3,39725E-04;0,00000E+00;7,02197E-04;5,48272E-04;8,90941E-04;0,00000E+00;0,00000E+00;0,00000E+00;1,51356E-04;0,00000E+00;1,29227E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;3,42670E-05;0,00000E+00;9,89460E-05;5,25320E-04;5,25193E-05;7,07995E-05;0,00000E+00;0,00000E+00;0,00000E+00;1,11329E-04
364;2,14180E-04;9,87991E-05;2,76211E-04;2,47724E-04;0,00000E+00;0,00000E+00;1,80578E-04;1,34469E-03;3,03890E-04;4,55835E-04;1,53870E-03;2,83363E-03;1,74215E-03;2,02621E-03;4,31172E-04;2,47132E-03;3,28224E-03;3,24367E-03;1,93071E-03;2,86232E-03;0,00000E+00;6,22342E-05;0,00000E+00;8,59014E-05;8,86347E-05;0,00000E+00;1,95403E-05;1,27708E-04;0,00000E+00;0,00000E+00;2,95843E-04;8,02712E-04;9,06478E-04;0,00000E+00;0,00000E+00;2,51066E-04;1,02811E-03;1,01297E-04;4,05187E-04;6,58429E-04;0,00000E+00;6,64984E-05;0,00000E+00;8,86494E-05;2,44518E-05;9,55020E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;2,53242E-05;0,00000E+00;7,31237E-05;2,78764E-04;0,00000E+00;4,90165E-04;6,32193E-04;0,00000E+00;0,00000E+00;2,80876E-04
365;1,59444E-04;2,21740E-04;8,13014E-04;8,11637E-04;0,00000E+00;5,42806E-04;0,00000E+00;1,45959E-03;0,00000E+00;2,52606E-04;1,87415E-04;9,34431E-04;1,02881E-03;3,69482E-03;1,43363E-03;2,87750E-04;1,50757E-03;4,53024E-03;3,66323E-03;3,60192E-03;0,00000E+00;1,32501E-05;0,00000E+00;1,29217E-04;0,00000E+00;8,75946E-04;0,00000E+00;1,37134E-04;0,00000E+00;0,00000E+00;0,00000E+00;1,70903E-04;1,70874E-04;1,39469E-03;0,00000E+00;2,08697E-04;3,29529E-04;0,00000E+00;5,05213E-04;0,00000E+00;0,00000E+00;1,41580E-05;0,00000E+00;0,00000E+00;1,31509E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,57879E-04;3,78909E-04;0,00000E+00;2,31721E-04;0,00000E+00;9,32200E-05;1,34599E-04;0,00000E+00;6,90289E-04;4,22838E-05
366;0,00000E+00;2,96528E-04;2,04367E-04;1,71118E-04;5,52772E-04;4,39897E-04;9,85403E-04;0,00000E+00;0,00000E+00;5,52772E-04;4,25667E-05;1,50024E-04;1,53861E-03;1,12903E-03;4,66673E-03;0,00000E+00;7,63834E-04;3,55489E-03;3,99975E-04;7,63834E-03;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;4,86405E-04;2,96426E-05;3,40534E-05;2,12834E-05;2,42161E-04;8,72430E-05;0,00000E+00;5,08661E-04;0,00000E+00;8,44020E-05;7,45738E-06;0,00000E+00;8,51334E-06;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,11134E-05;3,75780E-04;0,00000E+00;0,00000E+00;0,00000E+00;4,14579E-04;1,72741E-04;0,00000E+00;0,00000E+00;8,30732E-06;1,92598E-04;0,00000E+00;0,00000E+00;6,46602E-04;1,38293E-05
367;1,57182E-05;2,13175E-04;5,54283E-04;9,08470E-04;3,76835E-05;4,77734E-04;0,00000E+00;0,00000E+00;0,00000E+00;3,76835E-04;5,43219E-04;2,13590E-03;2,33689E-03;1,53936E-04;2,11086E-03;2,18703E-03;1,97874E-03;4,72974E-03;6,66648E-03;1,45802E-03;0,00000E+00;0,00000E+00;0,00000E+00;3,30964E-05;0,00000E+00;0,00000E+00;1,41984E-04;3,78286E-04;6,60676E-04;4,78869E-04;0,00000E+00;9,51605E-05;0,00000E+00;0,00000E+00;0,00000E+00;1,32617E-03;1,28177E-04;0,00000E+00;1,08644E-04;0,00000E+00;1,23902E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,41824E-04;0,00000E+00;0,00000E+00;5,57543E-05;0,00000E+00;1,31892E-04;0,00000E+00;0,00000E+00;0,00000E+00;1,06015E-04;6,36000E-04;6,76593E-05;0,00000E+00;7,08022E-04;1,76484E-04
368;1,04310E-04;4,43764E-04;2,10941E-04;8,83199E-04;1,11452E-04;5,77937E-04;2,35356E-04;0,00000E+00;7,26138E-04;1,44458E-03;0,00000E+00;1,85673E-03;1,79918E-03;3,20446E-04;2,22603E-04;5,64732E-03;4,11911E-03;8,90989E-03;3,25193E-03;5,58924E-03;0,00000E+00;0,00000E+00;0,00000E+00;6,88963E-05;0,00000E+00;0,00000E+00;1,71993E-04;5,74622E-04;4,70672E-04;4,31449E-04;7,71174E-05;1,98094E-04;3,15979E-04;0,00000E+00;0,00000E+00;5,18475E-04;6,87152E-05;3,96075E-04;0,00000E+00;1,98038E-04;2,57925E-05;1,32004E-05;0,00000E+00;6,41896E-06;1,65031E-04;0,00000E+00;0,00000E+00;7,58300E-05;1,16063E-04;0,00000E+00;2,74558E-04;0,00000E+00;0,00000E+00;1,61479E-04;0,00000E+00;0,00000E+00;1,64550E-04;0,00000E+00;6,12471E-05;5,36164E-05
369;1,31191E-04;1,82528E-05;4,70233E-04;1,29710E-03;6,32707E-04;0,00000E+00;5,08283E-04;6,11175E-04;1,38106E-03;4,89925E-04;1,87142E-04;1,69559E-03;6,77031E-04;2,54823E-04;1,85867E-03;2,62257E-03;2,06878E-03;6,27953E-03;3,62036E-03;6,03313E-03;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;3,78028E-05;4,26466E-04;0,00000E+00;0,00000E+00;5,72342E-05;1,24052E-03;8,10370E-04;0,00000E+00;0,00000E+00;8,50363E-04;2,45894E-04;2,93955E-04;0,00000E+00;8,95545E-04;4,50498E-05;9,79692E-06;2,13178E-04;4,76395E-06;1,22481E-04;6,78601E-05;9,54156E-05;5,62787E-05;0,00000E+00;7,01782E-05;0,00000E+00;2,80713E-04;0,00000E+00;1,19845E-04;0,00000E+00;3,22214E-04;1,75928E-05;7,02484E-05;5,11396E-04;1,91792E-04
370;1,68321E-05;5,17270E-04;4,98361E-04;8,95353E-04;1,31151E-04;3,67191E-04;2,42525E-04;2,29452E-04;1,81593E-04;8,37314E-04;2,79587E-04;2,67170E-03;1,50272E-03;5,49483E-05;1,92824E-03;3,36554E-03;6,39650E-03;1,00372E-03;6,06992E-03;8,92197E-04;0,00000E+00;3,80556E-05;0,00000E+00;6,04069E-04;0,00000E+00;0,00000E+00;2,30741E-04;0,00000E+00;0,00000E+00;7,77506E-04;2,09608E-04;2,67498E-04;1,24175E-04;0,00000E+00;0,00000E+00;1,46808E-03;5,30230E-05;1,79424E-03;5,98081E-04;1,61416E-04;9,71425E-06;0,00000E+00;4,59683E-05;0,00000E+00;0,00000E+00;8,40320E-05;2,05748E-05;0,00000E+00;0,00000E+00;1,51328E-05;0,00000E+00;3,29668E-04;0,00000E+00;2,92603E-04;0,00000E+00;6,94801E-05;0,00000E+00;1,51479E-05;1,10274E-04;3,27762E-05
