x;0,3334;0,3334;0,3338;0,3341;0,3342;0,3343;0,3343;0,3343;0,3345;0,3346;0,3347;0,3348;0,3347;0,3347;0,3349;0,3348;0,3350;0,3348;0,3348;0,3349;0,7092;0,7194;0,7202;0,7165;0,7176;0,7175;0,7182;0,7195;0,7194;0,7172;0,7172;0,7192;0,7197;0,7190;0,7194;0,7192;0,7199;0,7187;0,7191;0,7191;0,6513;0,6735;0,7152;0,6721;0,6833;0,6880;0,6789;0,6934;0,6901;0,7082;0,6530;0,6862;0,7035;0,6986;0,6654;0,6933;0,6945;0,6897;0,6916;0,6642
y;0,3481;0,3487;0,3491;0,3496;0,3501;0,3503;0,3503;0,3506;0,3509;0,3511;0,3513;0,3513;0,3514;0,3514;0,3519;0,3516;0,3519;0,3518;0,3517;0,3517;0,2789;0,2777;0,2774;0,2780;0,2785;0,2770;0,2778;0,2787;0,2777;0,2774;0,2780;0,2776;0,2782;0,2785;0,2778;0,2772;0,2780;0,2784;0,2779;0,2775;0,2679;0,2911;0,2820;0,2701;0,2848;0,2826;0,2655;0,2758;0,2750;0,2754;0,2776;0,2745;0,2789;0,2737;0,2651;0,2764;0,2701;0,2687;0,2733;0,2739
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304;0,00000E+00;0,00000E+00;2,53942E-05;1,76271E-04;0,00000E+00;7,12755E-04;3,80119E-04;1,20186E-03;0,00000E+00;0,00000E+00;4,55815E-04;8,20779E-05;5,27894E-04;1,41485E-03;3,95984E-03;0,00000E+00;2,09573E-03;1,19466E-03;1,24811E-03;1,74207E-03;7,51189E-05;0,00000E+00;2,29142E-04;0,00000E+00;5,83416E-05;2,84776E-04;1,88224E-04;2,71514E-05;1,89634E-04;4,28255E-04;3,36677E-04;0,00000E+00;0,00000E+00;0,00000E+00;4,29761E-04;8,21745E-04;0,00000E+00;2,71514E-04;1,62908E-04;4,25951E-04;0,00000E+00;1,20731E-04;0,00000E+00;0,00000E+00;2,24930E-04;0,00000E+00;1,08735E-04;0,00000E+00;1,89634E-04;8,14541E-05;2,75755E-04;6,85405E-04;9,86072E-05;5,24787E-04;0,00000E+00;5,12690E-04;0,00000E+00;1,67399E-04;0,00000E+00;9,75830E-05
305;0,00000E+00;0,00000E+00;1,19761E-05;4,47163E-05;0,00000E+00;6,13275E-04;0,00000E+00;1,50584E-03;0,00000E+00;0,00000E+00;1,20345E-04;1,56027E-03;1,25438E-03;3,48135E-03;2,09864E-03;0,00000E+00;4,10356E-03;0,00000E+00;1,78865E-04;0,00000E+00;4,76800E-05;0,00000E+00;2,75618E-05;1,50540E-04;2,65701E-04;0,00000E+00;4,47258E-04;3,87102E-04;2,61478E-04;3,13113E-04;1,58780E-04;0,00000E+00;5,31332E-04;0,00000E+00;0,00000E+00;3,87541E-04;0,00000E+00;0,00000E+00;1,37636E-03;2,00882E-04;0,00000E+00;3,55560E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;5,12801E-05;0,00000E+00;8,94326E-05;0,00000E+00;5,11240E-04;2,02328E-04;2,61212E-04;0,00000E+00;2,71156E-04;7,68890E-04;0,00000E+00;4,80123E-05;1,44430E-04;5,32594E-04
306;2,34291E-05;2,70876E-05;0,00000E+00;0,00000E+00;3,67438E-04;5,43029E-04;0,00000E+00;1,92036E-03;1,88983E-03;0,00000E+00;6,14762E-04;1,09386E-04;1,66790E-03;2,06282E-03;2,90154E-03;0,00000E+00;1,31267E-03;0,00000E+00;0,00000E+00;0,00000E+00;1,22321E-06;0,00000E+00;0,00000E+00;3,62692E-04;1,66986E-05;0,00000E+00;2,66084E-04;2,71386E-05;1,20616E-05;2,19515E-05;0,00000E+00;0,00000E+00;3,72502E-05;6,28899E-04;1,04806E-03;0,00000E+00;0,00000E+00;0,00000E+00;1,18000E-03;6,08436E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;4,02375E-04;0,00000E+00;0,00000E+00;2,31994E-05;0,00000E+00;0,00000E+00;3,16618E-05;0,00000E+00;1,50526E-05;3,61071E-05;3,98494E-04;4,88623E-04;0,00000E+00;8,72526E-05;1,01256E-05;3,63751E-04
307;3,50647E-05;0,00000E+00;0,00000E+00;5,72287E-04;7,11607E-04;7,98960E-04;0,00000E+00;1,06326E-03;3,88179E-03;1,27874E-03;1,26419E-03;6,28271E-04;0,00000E+00;2,64507E-04;1,69679E-03;1,02417E-04;0,00000E+00;0,00000E+00;3,41390E-04;1,90497E-03;1,93459E-05;0,00000E+00;3,52741E-05;8,96150E-05;7,73459E-04;1,91821E-05;1,60958E-04;0,00000E+00;0,00000E+00;2,48525E-04;3,51608E-04;7,36814E-05;1,31791E-04;0,00000E+00;8,38737E-05;5,72287E-04;3,81525E-04;6,67668E-04;2,04834E-04;6,42730E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,46285E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;4,26738E-05;2,25168E-04;8,52091E-05;6,82599E-05;2,39136E-05;1,89774E-05;0,00000E+00;2,68831E-04;0,00000E+00;7,82083E-04
308;1,46518E-04;0,00000E+00;0,00000E+00;7,89291E-05;1,33833E-04;1,09148E-03;0,00000E+00;1,25055E-03;0,00000E+00;1,27431E-03;2,66021E-03;2,15614E-04;1,34277E-03;1,10524E-03;7,13251E-04;1,21724E-03;8,68221E-04;7,89291E-05;1,42650E-03;1,37722E-03;0,00000E+00;0,00000E+00;0,00000E+00;3,74457E-04;4,38870E-05;8,01526E-05;1,54517E-04;0,00000E+00;0,00000E+00;1,03846E-03;1,42460E-04;3,07878E-04;7,33507E-04;0,00000E+00;1,04110E-04;9,47150E-04;0,00000E+00;0,00000E+00;8,55901E-04;0,00000E+00;0,00000E+00;1,41211E-05;1,06034E-05;0,00000E+00;6,11253E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,78313E-04;0,00000E+00;3,56047E-04;4,03586E-04;9,99231E-05;7,92971E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00
309;0,00000E+00;2,00248E-04;0,00000E+00;9,66164E-05;2,89193E-04;7,94006E-04;0,00000E+00;4,83082E-04;0,00000E+00;1,49398E-03;2,02748E-04;8,38171E-04;1,64367E-03;1,37912E-03;2,34137E-03;1,08939E-03;1,06278E-03;9,66164E-05;0,00000E+00;8,85576E-04;0,00000E+00;0,00000E+00;7,97530E-05;2,00248E-04;3,79122E-04;0,00000E+00;1,86874E-04;6,16149E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;2,23787E-04;0,00000E+00;3,98346E-04;1,77555E-03;0,00000E+00;4,31304E-04;1,84845E-04;1,45318E-03;7,53046E-05;1,72854E-05;1,29796E-05;2,88865E-05;5,28037E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,69441E-04;0,00000E+00;2,11458E-04;1,44886E-04;6,47396E-05;1,59837E-04;0,00000E+00;0,00000E+00;1,03450E-04;0,00000E+00
310;5,38308E-05;1,24456E-04;0,00000E+00;0,00000E+00;1,64506E-04;5,96304E-04;0,00000E+00;0,00000E+00;0,00000E+00;6,18971E-04;0,00000E+00;2,35408E-03;0,00000E+00;8,57134E-04;4,62126E-03;2,37455E-03;2,82139E-03;4,97892E-04;0,00000E+00;0,00000E+00;1,68310E-05;0,00000E+00;3,24584E-04;8,29649E-05;1,57074E-04;6,21681E-05;7,74236E-05;2,55277E-05;0,00000E+00;1,00682E-04;0,00000E+00;0,00000E+00;0,00000E+00;1,37615E-04;1,12239E-04;2,55277E-04;0,00000E+00;1,78694E-04;7,65830E-05;6,02067E-04;3,11994E-05;0,00000E+00;0,00000E+00;9,95017E-05;2,18771E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;7,02011E-05;4,89743E-05;8,76090E-05;0,00000E+00;2,68223E-05;6,62221E-05;4,46826E-04;0,00000E+00;4,28604E-05;0,00000E+00
311;2,17819E-06;1,67887E-06;2,51810E-04;0,00000E+00;4,29681E-04;1,10463E-03;3,13403E-04;1,25361E-03;1,21474E-03;6,66588E-04;0,00000E+00;8,12030E-05;0,00000E+00;9,10905E-04;7,74546E-04;7,20822E-04;1,14163E-04;2,94524E-03;0,00000E+00;2,63323E-03;6,81043E-07;0,00000E+00;1,17968E-05;0,00000E+00;0,00000E+00;2,51554E-06;0,00000E+00;0,00000E+00;0,00000E+00;2,57575E-04;0,00000E+00;8,26722E-04;0,00000E+00;5,56840E-06;0,00000E+00;5,22338E-04;8,35741E-04;9,40208E-04;8,35741E-04;5,86633E-04;0,00000E+00;0,00000E+00;0,00000E+00;3,54192E-06;0,00000E+00;5,24787E-05;0,00000E+00;0,00000E+00;3,39520E-04;0,00000E+00;0,00000E+00;3,71909E-04;0,00000E+00;0,00000E+00;3,65885E-05;0,00000E+00;1,80802E-05;0,00000E+00;0,00000E+00;0,00000E+00
312;0,00000E+00;2,41509E-04;7,37347E-06;1,74364E-04;5,95642E-05;2,82930E-04;2,56957E-04;1,22950E-03;0,00000E+00;0,00000E+00;0,00000E+00;2,78756E-03;5,94752E-05;4,10817E-04;4,40497E-04;0,00000E+00;2,20249E-04;2,02128E-03;1,17978E-03;0,00000E+00;4,89846E-05;0,00000E+00;0,00000E+00;0,00000E+00;1,07287E-04;0,00000E+00;3,04407E-04;1,14168E-03;0,00000E+00;0,00000E+00;9,77579E-05;0,00000E+00;3,02612E-04;9,13137E-05;0,00000E+00;8,78215E-05;8,63809E-04;8,78215E-05;1,20208E-03;1,85519E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,38546E-04;3,68802E-05;2,34996E-04;0,00000E+00;8,25932E-05;0,00000E+00;0,00000E+00;5,41609E-06;1,87303E-04;0,00000E+00;1,99277E-04;0,00000E+00;7,76518E-05;7,39010E-06;0,00000E+00;2,43240E-04
313;0,00000E+00;0,00000E+00;2,64280E-05;6,24954E-04;6,20393E-04;2,88280E-04;1,08006E-03;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,38257E-03;2,13171E-04;2,15719E-03;2,05607E-03;1,03402E-03;7,89415E-04;2,05607E-03;1,71040E-03;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;3,96775E-04;0,00000E+00;6,89253E-05;0,00000E+00;0,00000E+00;0,00000E+00;4,82774E-04;0,00000E+00;5,70477E-04;6,57053E-04;0,00000E+00;0,00000E+00;3,42678E-04;0,00000E+00;2,50281E-03;6,64939E-04;0,00000E+00;1,66020E-05;0,00000E+00;0,00000E+00;1,15146E-04;1,32186E-04;0,00000E+00;0,00000E+00;4,15340E-04;0,00000E+00;2,98274E-05;1,36769E-04;8,20974E-05;0,00000E+00;7,14249E-04;0,00000E+00;2,78320E-04;2,64876E-05;0,00000E+00;5,67794E-05
