timestamp,Lamp 1_%,Lamp 2_%,Lamp 3_%,Lamp 4_%,Lamp 5_%,Lamp 6_%
2024-01-01 05:40:00,1550.1590963319225,977.1341851117105,5451.505388346627,4437.127941261538,401.417811711128,14.791079860196755
2024-01-01 05:45:00,1550.1590963319225,977.1341851117105,5451.505388346627,4437.127941261538,401.417811711128,14.791079860196755
2024-01-01 05:50:00,1550.1590963319225,977.1341851117105,5451.505388346627,4437.127941261538,401.417811711128,14.791079860196755
2024-01-01 05:55:00,1550.1590963319225,977.1341851117105,5451.505388346627,4437.127941261538,401.417811711128,14.791079860196755
2024-01-01 06:00:00,1800.5871540172925,1134.9901217407514,6332.195576273418,5153.945547055007,466.2668218191876,17.18057743449293
2024-01-01 06:05:00,1800.5871540172925,1134.9901217407514,6332.195576273418,5153.945547055007,466.2668218191876,17.18057743449293
2024-01-01 06:10:00,1800.5871540172925,1134.9901217407514,6332.195576273418,5153.945547055007,466.2668218191876,17.18057743449293
2024-01-01 06:15:00,1800.5871540172925,1134.9901217407514,6332.195576273418,5153.945547055007,466.2668218191876,17.18057743449293
2024-01-01 06:20:00,1800.5871540172925,1134.9901217407514,6332.195576273418,5153.945547055007,466.2668218191876,17.18057743449293
2024-01-01 06:25:00,1800.5871540172925,1134.9901217407514,6332.195576273418,5153.945547055007,466.2668218191876,17.18057743449293
2024-01-01 06:30:00,1800.5871540172925,1134.9901217407514,6332.195576273418,5153.945547055007,466.2668218191876,17.18057743449293
2024-01-01 06:35:00,1800.5871540172925,1134.9901217407514,6332.195576273418,5153.945547055007,466.2668218191876,17.18057743449293
2024-01-01 06:40:00,1800.5871540172925,1134.9901217407514,6332.195576273418,5153.945547055007,466.2668218191876,17.18057743449293
2024-01-01 06:45:00,1800.5871540172925,1134.9901217407514,6332.195576273418,5153.945547055007,466.2668218191876,17.18057743449293
2024-01-01 06:50:00,1800.5871540172925,1134.9901217407514,6332.195576273418,5153.945547055007,466.2668218191876,17.18057743449293
2024-01-01 06:55:00,1800.5871540172925,1134.9901217407514,6332.195576273418,5153.945547055007,466.2668218191876,17.18057743449293
2024-01-01 07:00:00,2020.2066662803556,1273.4260627080969,7104.540142273876,5782.577715594697,523.1378773323355,19.276110565528963
2024-01-01 07:05:00,2020.2066662803556,1273.4260627080969,7104.540142273876,5782.577715594697,523.1378773323355,19.276110565528963
2024-01-01 07:10:00,2020.2066662803556,1273.4260627080969,7104.540142273876,5782.577715594697,523.1378773323355,19.276110565528963
2024-01-01 07:15:00,2020.2066662803556,1273.4260627080969,7104.540142273876,5782.577715594697,523.1378773323355,19.276110565528963
2024-01-01 07:20:00,2020.2066662803556,1273.4260627080969,7104.540142273876,5782.577715594697,523.1378773323355,19.276110565528963
